gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,n_services,charge_tenure_ratio,charge_consistency,tenure_log,is_new_user,is_long_term,MonthlyCharges_log,TotalCharges_log,AvgCharges,LongTermCustomer
1,0,0,0,16,1,0,0,0,0,0,0,0,2,0,18.95,326.8,0,0,1,0,1,0,0,1,1.184375,1.0778364116094987,2.833213344056216,0,0,2.9932291433358724,5.792403666309729,20.425,0
1,0,1,0,58,1,1,0,0,1,0,1,1,1,0,100.35,5681.1,0,1,0,0,1,0,0,5,1.7301724137931034,0.9760837070254113,4.07753744390572,0,1,4.618579872898009,8.645076161696084,97.95,1
1,0,0,0,49,1,1,0,1,1,0,1,1,0,1,103.7,5036.3,1,1,0,1,0,0,0,6,2.1163265306122447,0.9911439985830398,3.912023005428146,0,1,4.651099117876491,8.524625503233533,102.78163265306122,1
1,0,0,0,25,1,0,1,0,1,1,1,1,0,1,105.5,2686.05,0,1,0,0,0,1,0,6,4.22,1.0184075829383887,3.258096538021482,0,0,4.66814498514948,7.8961992165555,107.44200000000001,1
0,0,1,1,69,1,1,1,1,1,1,1,1,2,0,113.25,7895.15,0,1,0,0,1,0,0,8,1.641304347826087,1.010352880954666,4.248495242049359,0,1,4.738389029774314,8.974130577893364,114.42246376811593,1
0,0,0,0,52,1,0,0,0,0,0,0,0,1,0,20.65,1022.95,0,0,1,0,0,0,1,1,0.3971153846153846,0.9526448128143045,3.970291913552122,0,1,3.075005454448499,6.931422976282321,19.672115384615385,1
1,0,0,1,71,1,1,1,0,1,0,1,1,2,0,106.7,7382.25,0,1,0,1,0,0,0,6,1.5028169014084507,0.9744644059294851,4.276666119016055,0,1,4.679349584162343,8.906969200059761,103.97535211267606,1
0,0,1,1,10,1,0,0,0,1,1,0,0,0,0,55.2,528.35,1,0,0,0,1,0,0,3,5.5200000000000005,0.9571557971014493,2.3978952727983707,0,0,4.028916756899646,6.271649838789389,52.835,0
0,0,0,0,21,1,0,0,1,1,0,0,1,0,1,90.05,1862.9,0,1,0,0,0,1,0,4,4.288095238095238,0.9851140900557892,3.091042453358316,0,0,4.511408806173617,7.530426345737758,88.70952380952382,0
1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,39.65,39.65,1,0,0,0,0,1,0,2,39.65,1.0,0.6931471805599453,1,0,3.7049988359938197,3.7049988359938197,39.65,0
1,0,1,0,12,1,0,0,0,0,0,0,0,1,0,19.8,202.25,0,0,1,1,0,0,0,1,1.6500000000000001,0.8512205387205386,2.5649493574615367,0,0,3.0349529867072724,5.31443674842792,16.854166666666668,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.15,20.15,1,0,1,0,0,0,1,1,20.15,1.0,0.6931471805599453,1,0,3.0516399054922867,3.0516399054922867,20.15,0
0,0,1,0,58,1,1,0,1,0,1,0,0,2,1,59.9,3505.1,0,0,0,0,1,0,0,4,1.032758620689655,1.0088941339013298,4.07753744390572,0,1,4.109233174715851,8.16225958760722,60.432758620689654,1
1,0,1,1,49,1,0,1,1,0,1,0,0,0,0,59.6,2970.3,0,0,0,0,1,0,0,4,1.2163265306122448,1.017086700451993,3.912023005428146,0,1,4.104294893075269,7.996754846467186,60.61836734693878,1
0,0,0,0,30,1,0,1,1,0,0,0,0,0,1,55.3,1530.6,0,0,0,1,0,0,0,3,1.8433333333333333,0.9226039783001808,3.4339872044851463,0,0,4.030694535145645,7.3340682196031395,51.019999999999996,1
1,0,1,1,47,1,1,0,1,0,0,1,1,0,1,99.35,4749.15,1,1,0,0,0,1,0,5,2.1138297872340424,1.0170683913523006,3.871201010907891,0,0,4.608664075242347,8.46593147547745,101.04574468085106,1
1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,30.2,30.2,1,0,0,0,0,1,0,1,30.2,1.0,0.6931471805599453,1,0,3.4404180948154366,3.4404180948154366,30.2,0
1,0,1,0,72,1,1,1,1,1,1,1,1,2,1,90.25,6369.45,0,0,0,0,1,0,0,8,1.2534722222222223,0.9802169898430286,4.290459441148391,0,1,4.513602992462601,8.759425389713137,88.46458333333334,1
0,0,0,1,17,1,0,0,0,0,0,1,1,0,1,64.7,1093.1,1,0,0,0,0,0,1,3,3.8058823529411767,0.9938176197836165,2.8903717578961645,0,0,4.185098925490565,6.9976873864827445,64.3,0
0,1,1,0,71,1,1,1,1,1,1,0,0,2,1,96.35,6766.95,0,1,0,0,1,0,0,6,1.3570422535211266,0.9891972488798907,4.276666119016055,0,1,4.578312731818208,8.819953513551914,95.30915492957746,1
1,1,1,0,2,1,0,0,0,1,0,1,1,0,1,95.5,181.65,0,1,0,0,1,0,0,4,47.75,0.9510471204188482,1.0986122886681098,1,0,4.56954300834494,5.207571753241291,90.825,0
0,0,1,1,27,1,0,1,1,1,1,0,0,1,0,66.15,1874.45,0,0,0,0,0,0,1,5,2.45,1.0494946949973405,3.332204510175204,0,0,4.206928922969246,7.536603909609118,69.42407407407407,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.2,20.2,0,0,1,1,0,0,0,1,20.2,1.0,0.6931471805599453,1,0,3.054001181677967,3.054001181677967,20.2,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,45.25,45.25,0,0,0,1,0,0,0,1,45.25,1.0,0.6931471805599453,1,0,3.834061463958434,3.834061463958434,45.25,0
0,0,1,1,72,1,1,1,1,0,1,1,0,2,0,99.9,7251.7,0,1,0,1,0,0,0,6,1.3875000000000002,1.0081887442998554,4.290459441148391,0,1,4.6141299273595635,8.88912909231302,100.71805555555555,1
1,0,0,0,5,1,0,0,0,0,0,0,0,0,1,69.7,316.9,1,1,0,0,0,1,0,1,13.940000000000001,0.909325681492109,1.791759469228055,1,0,4.258445572902527,5.761736867916757,63.379999999999995,0
0,0,0,0,46,1,0,0,0,1,0,0,0,0,1,74.8,3548.3,0,1,0,0,1,0,0,2,1.626086956521739,1.0312427342478494,3.8501476017100584,0,0,4.328098292648326,8.174505679927726,77.13695652173914,1
1,0,0,0,34,1,1,0,1,1,0,1,1,0,1,106.35,3549.25,1,1,0,0,0,1,0,6,3.1279411764705882,0.9815675212256977,3.5553480614894135,0,0,4.67609452432479,8.174773302525123,104.38970588235294,1
0,0,0,0,11,1,1,0,0,1,0,1,1,0,1,97.85,1105.4,1,1,0,1,0,0,0,5,8.895454545454545,1.0269893621963118,2.4849066497880004,0,0,4.593603549616626,7.008866780350549,100.4909090909091,0
1,0,1,1,10,1,0,0,1,0,0,0,0,1,0,49.55,475.7,0,0,0,0,0,0,1,2,4.955,0.9600403632694248,2.3978952727983707,0,0,3.9229629454664803,6.16688736221078,47.57,0
0,0,1,1,70,1,1,1,1,0,0,1,0,2,1,69.2,4872.35,0,0,0,0,1,0,0,5,0.9885714285714287,1.0058526011560693,4.2626798770413155,0,1,4.251348311031766,8.491536864602452,69.605,1
0,0,1,1,17,1,0,0,0,0,0,0,0,1,0,20.75,418.25,0,0,1,0,0,0,1,1,1.2205882352941178,1.1856839121190645,2.8903717578961645,0,0,3.079613757534693,6.038467400703318,24.602941176470587,0
0,0,0,0,63,1,1,1,1,1,1,1,0,2,1,79.85,4861.45,0,0,0,0,1,0,0,7,1.2674603174603174,0.9663853852958425,4.1588830833596715,0,1,4.392595586023115,8.489297705097483,77.16587301587302,1
0,0,1,0,13,1,1,1,1,0,1,1,0,0,1,76.2,981.45,0,0,0,0,0,1,0,6,5.861538461538462,0.99076317383404,2.6390573296152584,0,0,4.3463994570307305,6.890049451863205,75.49615384615385,0
0,0,0,0,49,1,1,0,0,0,0,0,1,0,1,84.5,3906.7,0,1,0,0,0,1,0,3,1.7244897959183674,0.9435333896872358,3.912023005428146,0,1,4.448516375942715,8.270704244607035,79.72857142857143,1
1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,49.25,97.0,0,0,0,0,0,0,1,2,24.625,0.9847715736040609,1.0986122886681098,1,0,3.917010546939185,4.584967478670572,48.5,0
0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,80.65,144.15,1,1,0,0,0,1,0,2,40.325,0.893676379417235,1.0986122886681098,1,0,4.402441819416474,4.977767690470639,72.075,0
1,0,0,0,52,1,1,1,0,0,1,1,1,2,1,79.75,4217.8,0,0,0,0,1,0,0,6,1.5336538461538463,1.017072582589824,3.970291913552122,0,1,4.391357962102766,8.347306006402459,81.11153846153846,1
0,0,1,1,69,1,1,1,0,1,1,0,0,2,1,64.15,4254.1,0,0,0,0,1,0,0,5,0.9297101449275363,0.961085318603364,4.248495242049359,0,1,4.176692303570854,8.355873542493944,61.6536231884058,1
0,1,0,0,43,1,1,0,1,0,0,1,0,0,1,90.25,3838.75,0,1,0,0,0,1,0,4,2.0988372093023258,0.9891773497390969,3.784189633918261,0,0,4.513602992462601,8.253162539295738,89.27325581395348,1
0,0,0,0,15,1,0,1,1,0,0,1,1,0,1,99.1,1426.4,1,1,0,0,1,0,0,5,6.6066666666666665,0.9595694584594686,2.772588722239781,0,0,4.6061696863211745,7.263609886536967,95.09333333333333,0
0,1,1,0,25,1,1,1,0,0,1,1,0,0,1,69.5,1752.65,0,0,0,0,1,0,0,5,2.78,1.0087194244604316,3.258096538021482,0,0,4.255612709818223,7.4694546091209375,70.10600000000001,1
0,1,1,0,8,1,1,0,1,0,0,0,0,0,1,80.65,633.3,1,1,0,0,1,0,0,3,10.08125,0.9815561066336018,2.1972245773362196,0,0,4.402441819416474,6.4525220286398515,79.1625,0
0,1,1,1,60,1,0,1,1,1,1,0,1,1,1,74.85,4456.35,0,0,0,0,1,0,0,6,1.2474999999999998,0.9922845691382767,4.110873864173311,0,1,4.328757705794541,8.402309698021336,74.27250000000001,1
1,1,0,0,18,1,1,0,0,0,0,1,1,0,1,95.45,1752.55,1,1,0,0,0,1,0,4,5.302777777777778,1.0200512193702345,2.9444389791664403,0,0,4.569024739351738,7.4693975835734765,97.36388888888888,0
0,0,1,1,63,1,1,1,0,0,0,1,1,1,1,99.65,6311.2,0,1,0,0,1,0,0,5,1.581746031746032,1.005296314879857,4.1588830833596715,0,1,4.611649152085801,8.750239547701803,100.17777777777778,1
1,1,1,1,66,1,1,0,1,1,1,1,1,1,1,108.45,7076.35,0,1,0,0,0,1,0,7,1.6431818181818183,0.9886346172653228,4.204692619390966,0,1,4.695467823968872,8.864654822837052,107.21742424242424,1
0,0,1,1,34,1,1,0,0,0,0,0,0,2,0,24.95,894.3,0,0,1,0,1,0,0,2,0.7338235294117647,1.0542260992573382,3.5553480614894135,0,0,3.2561716096118976,6.7971588576401105,26.302941176470586,1
0,0,0,0,72,1,1,0,0,1,1,1,1,2,1,107.5,7853.7,0,1,0,0,1,0,0,6,1.4930555555555556,1.01468992248062,4.290459441148391,0,1,4.686750172980514,8.968867357726134,109.07916666666667,1
0,0,1,0,47,1,1,0,0,1,0,1,1,0,1,100.5,4707.1,0,1,0,0,0,1,0,5,2.1382978723404253,0.9965279983063408,3.871201010907891,0,0,4.620058798481842,8.457039708596394,100.15106382978725,1
1,0,0,0,60,1,1,0,1,0,0,1,0,0,1,89.9,5450.7,0,1,0,1,0,0,0,4,1.4983333333333335,1.010511679644049,4.110873864173311,0,1,4.509760001183433,8.603682765623805,90.845,1
1,0,1,0,72,0,0,1,1,1,0,0,0,2,0,42.1,2962.0,0,0,0,1,0,0,0,3,0.5847222222222223,0.977170757455793,4.290459441148391,0,1,3.763522997109702,7.993957547573565,41.138888888888886,1
0,0,1,1,18,1,0,0,0,1,1,0,0,1,1,54.4,957.1,0,0,0,0,1,0,0,3,3.022222222222222,0.9774305555555557,2.9444389791664403,0,0,4.014579593753238,6.864952156656828,53.172222222222224,0
0,0,0,0,9,1,1,0,0,0,0,1,1,0,0,94.4,857.25,1,1,0,0,0,1,0,4,10.488888888888889,1.0090042372881356,2.302585092994046,0,0,4.558078578454241,6.754895432337801,95.25,0
0,0,0,0,3,1,0,0,1,0,1,1,1,0,1,75.3,244.1,0,0,0,0,0,1,0,5,25.099999999999998,1.0805666223992918,1.3862943611198906,1,0,4.334672938290411,5.501666290534067,81.36666666666666,0
1,0,1,0,47,1,1,0,1,0,0,0,0,1,1,78.9,3650.35,0,1,0,0,0,1,0,3,1.6787234042553192,0.9843728932394897,3.871201010907891,0,0,4.380775852772229,8.202852241207772,77.66702127659575,1
0,0,0,0,31,1,0,0,1,1,1,1,1,2,0,79.2,2497.2,0,0,0,0,0,0,1,6,2.5548387096774197,1.0171065493646136,3.4657359027997265,0,0,4.384523514872469,7.823325751531809,80.55483870967741,1
0,0,1,1,50,1,0,0,0,0,0,0,0,2,0,20.15,930.9,0,0,1,1,0,0,0,1,0.40299999999999997,0.9239702233250621,3.9318256327243257,0,1,3.0516399054922867,6.83722551279161,18.618,1
1,0,0,0,10,1,0,1,0,1,0,0,0,0,1,79.85,887.35,0,1,0,0,0,0,1,3,7.984999999999999,1.1112711333750782,2.3978952727983707,0,0,4.392595586023115,6.789365809481915,88.735,0
1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,49.05,49.05,0,0,0,0,0,0,1,2,49.05,1.0,0.6931471805599453,1,0,3.9130225057612296,3.9130225057612296,49.05,0
0,0,1,1,52,1,0,0,0,0,0,0,0,1,1,20.4,1090.65,0,0,1,0,0,1,0,1,0.3923076923076923,1.0281391402714934,3.970291913552122,0,1,3.0633909220278057,6.995445592109125,20.974038461538463,1
1,1,1,1,64,1,1,1,0,1,1,1,1,2,1,111.6,7099.0,0,1,0,1,0,0,0,7,1.74375,0.9939236111111112,4.174387269895637,0,1,4.72384171570559,8.867850063029406,110.921875,1
1,0,1,1,62,1,1,0,0,0,0,0,0,2,1,24.25,1424.6,0,0,1,1,0,0,0,2,0.3911290322580645,0.9475224476222148,4.143134726391533,0,1,3.228826155721369,7.262348056716545,22.97741935483871,1
0,0,0,1,3,1,0,1,0,0,1,0,1,0,1,64.5,177.4,0,0,0,1,0,0,0,4,21.5,0.9167958656330749,1.3862943611198906,1,0,4.182050142641207,5.184028220145909,59.13333333333333,0
0,1,0,0,56,1,1,1,1,1,0,1,1,1,0,110.5,6139.5,0,1,0,0,0,1,0,7,1.9732142857142858,0.9921622495151907,4.04305126783455,0,1,4.7140245909001735,8.722661451050438,109.63392857142857,1
0,0,0,0,46,1,0,0,0,0,0,0,1,1,0,55.65,2688.85,0,0,0,0,1,0,0,2,1.2097826086956522,1.0503730614477127,3.8501476017100584,0,0,4.036891987474015,7.8972407089593375,58.45326086956521,1
0,0,1,1,8,1,0,1,1,0,0,0,0,0,0,54.65,482.25,0,0,0,0,0,0,1,3,6.83125,1.10304208600183,2.1972245773362196,0,0,4.019082077721554,6.18053411808844,60.28125,0
1,1,0,0,30,1,0,1,1,0,0,1,1,0,1,74.75,2111.3,0,0,0,0,0,1,0,5,2.4916666666666667,0.9414938684503903,3.4339872044851463,0,0,4.327438444389479,7.655532680193197,70.37666666666668,1
0,0,1,1,45,1,1,0,0,0,0,0,0,1,1,25.9,1216.6,0,0,1,0,1,0,0,2,0.5755555555555555,1.0438438438438438,3.828641396489095,0,0,3.292126286607793,7.104636987107422,27.035555555555554,1
0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,79.35,79.35,1,1,0,0,0,1,0,2,79.35,1.0,0.6931471805599453,1,0,4.386392092183521,4.386392092183521,79.35,0
0,0,1,1,11,0,0,1,0,0,0,1,1,0,0,50.55,565.35,0,0,0,0,0,1,0,3,4.595454545454545,1.0167251146479634,2.4849066497880004,0,0,3.942552210462969,6.339212261646723,51.39545454545455,0
0,0,1,0,7,1,0,0,0,1,0,0,0,0,1,75.15,496.9,1,1,0,1,0,0,0,2,10.735714285714286,0.9445870164433037,2.0794415416798357,0,0,4.332705079341171,6.210399253648137,70.98571428571428,0
0,0,0,0,42,1,0,0,1,1,1,1,1,0,1,103.8,4327.5,0,1,0,1,0,0,0,6,2.4714285714285715,0.9926369391687312,3.7612001156935624,0,0,4.6520537718869415,8.372976340655828,103.03571428571429,1
0,0,1,0,49,1,0,0,0,0,0,0,0,2,1,20.15,973.35,0,0,1,1,0,0,0,1,0.41122448979591836,0.9858206309819214,3.912023005428146,0,1,3.0516399054922867,6.881770582010144,19.864285714285714,1
1,0,0,0,9,1,1,0,1,0,0,1,1,0,1,99.3,918.75,0,1,0,0,1,0,0,5,11.033333333333333,1.0280295401141324,2.302585092994046,0,0,4.60816569496789,6.824101893984884,102.08333333333333,0
0,0,1,0,35,1,0,1,0,0,0,1,0,1,1,62.15,2215.45,0,0,0,1,0,0,0,3,1.7757142857142856,1.0184806344098378,3.58351893845611,0,0,4.1455128487965,7.703662095843597,63.29857142857142,1
0,0,1,1,48,1,0,0,0,0,0,0,0,2,0,20.65,1057.0,0,0,1,1,0,0,0,1,0.4302083333333333,1.0663841807909604,3.8918202981106265,0,1,3.075005454448499,6.964135612418245,22.020833333333332,1
0,0,1,1,46,1,0,0,0,0,0,0,0,2,1,19.95,927.1,0,0,1,0,0,0,1,1,0.43369565217391304,1.0102429988013513,3.8501476017100584,0,0,3.0421386463681466,6.833139485601347,20.15434782608696,1
1,0,1,0,29,0,0,0,0,0,0,1,0,0,0,33.75,1009.25,0,0,0,0,0,0,1,1,1.1637931034482758,1.031162196679438,3.4011973816621555,0,0,3.548179572010801,6.917953103958583,34.80172413793103,1
1,0,1,1,30,1,0,0,1,1,0,0,0,0,0,82.05,2570.2,0,1,0,1,0,0,0,3,2.735,1.0441600650010157,3.4339872044851463,0,0,4.419442836059304,7.852127994983248,85.67333333333333,1
1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,74.7,74.7,0,1,0,0,0,1,0,2,74.7,1.0,0.6931471805599453,1,0,4.3267781604434035,4.3267781604434035,74.7,0
1,0,1,1,66,1,1,1,0,1,1,1,1,2,1,84.0,5714.25,0,0,0,0,0,0,1,7,1.2727272727272727,1.0307088744588744,4.204692619390966,0,1,4.442651256490317,8.65089331980408,86.57954545454545,1
0,0,0,0,65,1,1,1,1,1,0,1,1,0,1,111.05,7107.0,0,1,0,0,1,0,0,7,1.7084615384615385,0.9845876770685416,4.189654742026425,0,1,4.718945200246936,8.868976189274543,109.33846153846154,1
1,0,0,0,72,1,1,0,1,1,0,1,1,2,1,100.9,7459.05,0,1,0,1,0,0,0,6,1.401388888888889,1.0267385199867856,4.290459441148391,0,1,4.623991940228679,8.917317395588213,103.59791666666666,1
0,0,0,0,12,1,1,1,0,0,0,0,0,0,1,78.95,927.35,1,1,0,0,0,1,0,3,6.579166666666667,0.9788368165505593,2.5649493574615367,0,0,4.381401439279963,6.83340881685348,77.27916666666667,0
1,0,1,1,71,1,1,1,1,0,1,0,0,1,1,66.85,4748.7,0,0,0,0,1,0,0,5,0.9415492957746479,1.0004951173006627,4.276666119016055,0,1,4.217299386280878,8.465836737139407,66.8830985915493,1
1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,21.05,113.85,1,0,1,0,0,0,1,1,4.21,1.081710213776722,1.791759469228055,1,0,3.093312601892855,4.743626929135107,22.77,0
1,0,0,0,52,1,0,0,0,0,0,0,0,2,0,21.0,1107.2,0,0,1,1,0,0,0,1,0.40384615384615385,1.0139194139194139,3.970291913552122,0,1,3.091042453358316,7.010492356433249,21.292307692307695,1
0,1,1,0,25,1,0,0,1,1,0,1,1,0,1,98.5,2514.5,1,1,0,0,0,1,0,5,3.94,1.0211167512690356,3.258096538021482,0,0,4.600157644164547,7.830226869931373,100.58,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.2,20.2,0,0,1,0,0,0,1,1,20.2,1.0,0.6931471805599453,1,0,3.054001181677967,3.054001181677967,20.2,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,19.45,19.45,0,0,1,0,0,1,0,1,19.45,1.0,0.6931471805599453,1,0,3.017982882488811,3.017982882488811,19.45,0
1,0,0,0,38,1,1,0,0,1,1,1,0,1,0,95.0,3605.6,0,1,0,1,0,0,0,5,2.5,0.998781163434903,3.6635616461296463,0,0,4.564348191467836,8.190520779273172,94.88421052631578,1
0,1,1,0,66,0,0,0,1,1,0,1,0,1,0,45.55,3027.25,0,0,0,1,0,0,0,3,0.6901515151515151,1.0069686990652964,4.204692619390966,0,1,3.840527003723076,8.015740173896912,45.86742424242424,1
1,0,1,0,68,1,1,0,1,1,1,1,1,2,1,110.0,7611.85,1,1,0,1,0,0,0,7,1.6176470588235294,1.0176270053475935,4.23410650459726,0,1,4.709530201312334,8.937592887972736,111.93897058823529,1
1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,24.3,100.2,0,0,0,0,0,0,1,0,4.86,0.8246913580246914,1.791759469228055,1,0,3.2308043957334744,4.617098756853365,20.04,0
0,0,1,1,72,1,1,1,1,0,0,1,1,1,1,104.15,7303.05,0,1,0,0,0,1,0,6,1.4465277777777779,0.9738958233317331,4.290459441148391,0,1,4.655387902148709,8.896184267815448,101.43125,1
0,0,0,0,32,0,0,1,0,0,0,0,0,1,0,30.15,927.65,0,0,0,0,0,0,1,1,0.9421875,0.9614946102819237,3.4965075614664802,0,0,3.4388142452334622,6.833731918633351,28.9890625,1
1,0,0,0,43,1,1,0,0,0,0,1,1,1,0,94.35,3921.3,0,1,0,0,0,0,1,4,2.1941860465116276,0.9665397271416425,3.784189633918261,0,0,4.557554332046428,8.274433495416885,91.19302325581396,1
1,0,1,1,72,1,0,0,0,0,0,0,0,2,0,19.4,1363.25,0,0,1,0,1,0,0,1,0.26944444444444443,0.9759808132875144,4.290459441148391,0,1,3.0155349008501706,7.218360106066341,18.93402777777778,1
1,0,1,0,55,1,1,1,1,0,0,1,0,0,1,96.75,5238.9,1,1,0,0,0,1,0,5,1.759090909090909,0.9845243128964059,4.02535169073515,0,1,4.582413198865475,8.564057693163521,95.25272727272727,1
0,0,0,0,52,1,0,1,0,1,1,0,0,1,0,57.95,3042.25,0,0,0,0,1,0,0,4,1.114423076923077,1.0095739032322293,3.970291913552122,0,1,4.07668962698338,8.020681302289706,58.50480769230769,1
0,0,0,0,43,1,0,0,1,1,0,1,0,0,1,91.65,3954.1,0,1,0,0,0,1,0,4,2.1313953488372093,1.00333675890331,3.784189633918261,0,0,4.528828952731369,8.282761164332172,91.95581395348837,1
0,1,1,0,37,1,1,0,0,0,0,0,0,0,1,76.5,2868.15,1,1,0,0,0,1,0,2,2.0675675675675675,1.0133015368309486,3.6375861597263857,0,0,4.350277936359301,7.961771097640099,77.51756756756757,1
0,0,1,1,64,0,0,0,1,0,1,1,1,2,1,54.6,3423.5,0,0,0,0,0,1,0,4,0.853125,0.9797103937728937,4.174387269895637,0,1,4.018183201256536,8.13871075463796,53.4921875,1
1,0,1,1,3,1,0,1,1,0,0,1,0,0,0,89.85,248.4,0,1,0,0,0,1,0,4,29.95,0.921535893155259,1.3862943611198906,1,0,4.50920979484218,5.519058033245936,82.8,0
0,0,0,0,36,0,0,1,0,0,0,0,0,2,0,31.05,1126.35,0,0,0,1,0,0,0,1,0.8625,1.0076489533011272,3.6109179126442243,0,0,3.467297183366679,7.027625024832521,31.287499999999998,1
0,0,1,1,10,1,1,1,0,0,0,1,1,0,1,100.25,1064.65,1,1,0,0,0,1,0,5,10.025,1.061995012468828,2.3978952727983707,0,0,4.617592705986649,6.971340220607248,106.465,0
0,0,0,0,41,1,0,0,0,0,0,0,0,2,0,20.65,835.15,0,0,1,0,0,0,1,1,0.5036585365853659,0.9864170554538475,3.7376696182833684,0,0,3.075005454448499,6.728808022827132,20.36951219512195,1
1,0,1,1,27,1,1,0,1,0,1,0,0,0,1,85.2,2151.6,0,1,0,0,1,0,0,4,3.1555555555555554,0.9353155972874282,3.332204510175204,0,0,4.456670177669648,7.674431692830198,79.68888888888888,1
0,0,1,1,56,1,1,0,0,1,0,1,1,1,1,99.8,5515.45,0,1,0,0,1,0,0,5,1.782142857142857,0.9868755367878613,4.04305126783455,0,1,4.613138355637268,8.615489816441348,98.49017857142857,1
0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,20.7,112.75,0,0,1,0,0,0,1,1,3.4499999999999997,0.9078099838969405,1.9459101490553132,1,0,3.077312260546414,4.7340030578310595,18.791666666666668,0
1,0,0,0,3,1,1,0,0,0,0,0,0,0,1,74.4,229.55,1,1,0,0,0,1,0,2,24.8,1.0284498207885304,1.3862943611198906,1,0,4.32280727501391,5.440467758652715,76.51666666666667,0
0,0,1,1,7,1,0,1,0,0,0,0,0,0,0,50.7,350.35,0,0,0,0,0,0,1,2,7.242857142857143,0.9871794871794871,2.0794415416798357,0,0,3.9454577815143836,5.861782877638206,50.050000000000004,0
